ID,FunEngagementChoice,FrustratingChoice,ChallengingChoice,OverallChoice,Gender,Age,RegularGamePlay,PlatformerGamePlay,GWAPPlay,MultiplayerCondition,SinglePlayerFirst,NaturalPair,Collusion,SingleFunEngagementRank,MultiFunEngagementRank,SingleFrustratingRank,MultiFrustratingRank,SingleChallengingRank,MultiChallengingRank,SingleOverallRank,MultiOverallRank,SingleplayerFunEngagement,SingleplayerFrustrating,SingleplayerChallenging,SingleplayerFunEngagementChoice,SingleplayerFrustratingChoice,SingleplayerChallengingChoice,MultiplayerFunEngagement,MultiplayerFrustrating,MultiplayerChallenging,PartnerEngaging,PartnerDistracting,PartnerCollaborating,PartnerCompeting,MultiplayerFunEngagementChoice,MultiplayerFrustratingChoice,MultiplayerChallengingChoice,SinglePlayerTasks,SinglePlayerAccuracyIntended,SinglePlayerAccuracyPossible,SinglePlayerDeaths,SingleTasksPerAttempt,SingleTaskTotalTime,MultiPlayerTasks,MultiPlayerAccuracyIntended,MultiPlayerAccuracyPossible,MultiPlayerDeaths,MultiPlayerDeathsTasksPerAttempt,MultiPlayerTaskTotalTime,OverallAccuracyIntended,OverallAccuracyPossible,OverallTime
2012,Multiplayer,Multiplayer,Single player,Multiplayer,Male,18-24,No,Yes,No,1,FALSE,FALSE,TRUE,2,1,2,1,1,2,2,1,3,3,4,2,1,1,4,3,4,1,-1,1,-1,2,2,2,21.0,0.6190476190476191,0.8095238095238095,8.0,2.625,316.0,11.0,0.36363636363636365,0.7272727272727273,6.0,1.8333333333333333,459,0.53125,0.78125,775.0
2013,Multiplayer,Single player,Single player,Multiplayer,Male,18-24,No,N/A,N/A,1,FALSE,TRUE,TRUE,2,1,1,2,1,2,2,1,4,3,2,2,2,2,4,1,3,2,-2,1,1,1,2,1,26.0,0.6923076923076923,0.9230769230769231,4.0,6.5,245.18480999999997,15.0,0.6666666666666666,0.9333333333333333,5.0,3.0,1386.1952599999997,0.6829268292682927,0.926829268292683,1631.3800699999997
1013,Multiplayer,Single player,Single player,Multiplayer,Male,18-24,Yes,Yes,No,1,FALSE,TRUE,TRUE,2,1,1,2,1,2,2,1,4,3,2,1,2,2,4,3,2,1,-1,-1,1,1,1,1,38.0,0.6578947368421053,0.6578947368421053,8.0,4.75,727.0335099999999,18.0,0.6111111111111112,0.6111111111111112,5.0,3.6,1386.1952599999997,0.6428571428571429,0.6428571428571429,2113.2287699999997
1015,Single player,Single player,Multiplayer,Single player,Male,18-24,No,N/A,N/A,2,FALSE,FALSE,TRUE,1,2,1,2,2,1,1,2,3,4,4,1,2,2,1,4,4,-2,1,0,-1,2,1,1,22.0,0.9090909090909091,0.9090909090909091,5.0,4.4,236.79880000000003,7.0,0.8571428571428571,0.8571428571428571,3.0,2.3333333333333335,495.63778,0.896551724137931,0.896551724137931,732.43658
2016,Multiplayer,Single player,Single player,Single player,Male,18-24,Yes,Yes,No,2,FALSE,TRUE,TRUE,2,1,1,2,1,2,1,2,5,3,4,1,1,1,4,2,3,1,-1,1,-2,2,2,2,18.0,0.6111111111111112,0.9444444444444444,5.0,3.6,392.88841,12.0,0.6666666666666666,1.0,2.0,6.0,290.98032,0.6333333333333333,0.9666666666666667,683.86873
1016,Multiplayer,Single player,Single player,Multiplayer,Female,18-24,Yes,Yes,No,2,FALSE,TRUE,TRUE,2,1,1,2,1,2,2,1,3,4,4,2,1,1,4,3,3,2,-2,1,1,2,2,2,25.0,0.88,0.88,5.0,5.0,409.89861,10.0,1.0,1.0,2.0,5.0,290.98032,0.9142857142857143,0.9142857142857143,700.8789300000001
1017,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,Yes,2,FALSE,TRUE,TRUE,2,1,2,1,2,1,2,1,4,3,2,1,2,2,1,3,4,1,-2,1,-1,2,1,1,16.0,0.75,0.75,2.0,8.0,209.474,25.0,0.88,0.88,8.0,3.125,2611.3707300000005,0.8292682926829268,0.8292682926829268,2820.8447300000007
2017,Multiplayer,Multiplayer,Multiplayer,Single player,Male,18-24,Yes,Yes,Yes,2,FALSE,TRUE,TRUE,2,1,2,1,2,1,1,2,1,1,1,2,2,2,4,4,4,2,1,2,0,2,2,2,13.0,0.6153846153846154,0.9230769230769231,3.0,4.333333333333333,212.23616700000002,26.0,0.6153846153846154,0.9615384615384616,8.0,3.25,2611.3707300000005,0.6153846153846154,0.9487179487179487,2823.6068970000006
2018,Multiplayer,Single player,Single player,Multiplayer,Male,18-24,No,Yes,No,2,TRUE,FALSE,TRUE,2,1,1,2,1,2,2,1,4,3,4,2,1,1,4,2,2,1,0,1,-1,2,1,1,14.0,0.07142857142857142,0.42857142857142855,8.0,1.75,204.36896000000002,8.0,0.5,0.75,2.0,4.0,516.36423,0.22727272727272727,0.5454545454545454,720.73319
1018,Multiplayer,Single player,Single player,Multiplayer,Male,25-30,Yes,Yes,Yes,2,TRUE,FALSE,TRUE,2,1,1,2,1,2,2,1,5,3,4,2,1,1,5,1,2,2,-2,2,-2,2,1,2,13.0,0.8461538461538461,0.8461538461538461,6.0,2.1666666666666665,753.4862699999999,8.0,0.75,0.75,2.0,4.0,516.36423,0.8095238095238095,0.8095238095238095,1269.8505
1020,Single player,Multiplayer,Multiplayer,Single player,Male,18-24,No,N/A,N/A,1,TRUE,TRUE,TRUE,1,2,2,1,2,1,1,2,4,4,3,1,1,1,3,4,3,1,1,1,-1,2,2,2,26.0,0.8076923076923077,0.8076923076923077,6.0,4.333333333333333,680.9123400000001,15.0,1.0,1.0,6.0,2.5,2549.6281599999993,0.8780487804878049,0.8780487804878049,3230.540499999999
2020,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,No,1,TRUE,TRUE,TRUE,2,1,2,1,2,1,2,1,3,2,2,1,1,1,4,2,4,-1,1,1,0,2,2,2,14.0,0.5714285714285714,0.6428571428571429,2.0,7.0,258.27979000000005,8.0,1.0,1.0,6.0,1.3333333333333333,2549.6281599999993,0.7272727272727273,0.7727272727272727,2807.9079499999993
1021,Multiplayer,Single player,Multiplayer,Multiplayer,Female,18-24,Yes,Yes,Yes,1,FALSE,TRUE,FALSE,2,1,1,2,2,1,2,1,3,2,2,2,2,2,5,1,2,2,1,1,1,2,1,1,11.0,1.0,1.0,4.0,2.75,199.987711,20.0,0.65,0.65,5.0,4.0,1094.9928500000003,0.7741935483870968,0.7741935483870968,1294.9805610000003
2021,Single player,Multiplayer,Multiplayer,Single player,Female,18-24,Yes,Yes,Yes,1,FALSE,TRUE,FALSE,1,2,2,1,2,1,1,2,4,2,2,2,2,1,3,1,5,0,2,-2,2,2,2,2,33.0,0.696969696969697,0.9393939393939394,5.0,6.6,291.42693,2.0,0.5,0.5,5.0,0.4,1094.9928500000003,0.6857142857142857,0.9142857142857143,1386.4197800000004
1023,Multiplayer,Single player,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,No,1,FALSE,TRUE,FALSE,2,1,1,2,2,1,2,1,3,4,3,2,2,2,3,3,3,2,-2,-1,0,2,2,2,21.0,0.9523809523809523,0.9523809523809523,4.0,5.25,211.89626500000003,15.0,0.9333333333333333,0.9333333333333333,6.0,2.5,1284.2175100000004,0.9444444444444444,0.9444444444444444,1496.1137750000005
2023,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,Yes,1,FALSE,TRUE,FALSE,2,1,2,1,2,1,2,1,5,2,2,2,1,1,5,2,4,2,-2,1,-1,1,2,1,11.0,0.9090909090909091,1.0,2.0,5.5,153.03526599999998,17.0,0.6470588235294118,0.9411764705882353,6.0,2.8333333333333335,1284.2175100000004,0.75,0.9642857142857143,1437.2527760000003
2024,Multiplayer,Single player,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,No,1,TRUE,FALSE,FALSE,2,1,1,2,2,1,2,1,4,4,3,1,2,1,5,2,3,1,-1,-2,2,1,1,1,16.0,0.875,0.9375,8.0,2.0,763.25969,12.0,0.8333333333333334,0.9166666666666666,4.0,3.0,383.58822,0.8571428571428571,0.9285714285714286,1146.84791
1024,Single player,Multiplayer,Multiplayer,Single player,Male,18-24,No,N/A,N/A,1,TRUE,FALSE,FALSE,1,2,2,1,2,1,1,2,4,4,3,2,1,1,3,5,4,0,1,0,1,1,1,1,59.0,0.5423728813559322,0.5423728813559322,8.0,7.375,991.896007,10.0,0.8,0.8,4.0,2.5,383.58822,0.5797101449275363,0.5797101449275363,1375.484227
2026,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,No,1,FALSE,TRUE,TRUE,2,1,2,1,2,1,2,1,4,1,2,1,1,1,1,3,4,2,1,1,0,2,2,2,14.0,0.7142857142857143,1.0,2.0,7.0,122.89622299999999,7.0,0.42857142857142855,0.8571428571428571,5.0,1.4,1806.7856600000002,0.6190476190476191,0.9523809523809523,1929.6818830000002
1026,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,No,1,FALSE,TRUE,TRUE,2,1,2,1,2,1,2,1,4,1,1,2,2,2,4,3,3,2,-1,1,1,2,2,2,11.0,0.9090909090909091,0.9090909090909091,2.0,5.5,136.55039,19.0,0.7894736842105263,0.7894736842105263,5.0,3.8,1806.7856600000002,0.8333333333333334,0.8333333333333334,1943.3360500000003
2027,Multiplayer,Single player,Single player,Multiplayer,Female,18-24,No,N/A,No,1,TRUE,FALSE,FALSE,2,1,1,2,1,2,2,1,4,4,4,1,2,2,5,3,3,1,-2,-1,1,2,1,1,12.0,1.0,1.0,8.0,1.5,1122.8040399999998,13.0,0.8461538461538461,0.9230769230769231,5.0,2.6,938.0544899999998,0.92,0.96,2060.8585299999995
1027,Multiplayer,Single player,Multiplayer,Multiplayer,Male,25-30,Yes,Yes,No,1,TRUE,FALSE,FALSE,2,1,1,2,2,1,2,1,4,3,3,2,1,1,5,3,3,2,1,-1,2,2,2,2,23.0,0.9130434782608695,0.9130434782608695,6.0,3.8333333333333335,324.77941,19.0,0.7368421052631579,0.7368421052631579,5.0,3.8,938.0544899999998,0.8333333333333334,0.8333333333333334,1262.8338999999996
2028,Multiplayer,Single player,Single player,Multiplayer,Male,18-24,Yes,Yes,No,2,TRUE,TRUE,TRUE,2,1,1,2,1,2,2,1,4,3,4,2,2,2,4,2,4,1,-1,2,-1,2,2,2,24.0,0.625,0.9166666666666666,6.0,4.0,1011.427418,17.0,0.6470588235294118,0.8823529411764706,2.0,8.5,325.52422,0.6341463414634146,0.9024390243902439,1336.951638
1028,Multiplayer,Single player,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,No,2,TRUE,TRUE,TRUE,2,1,1,2,2,1,2,1,4,3,3,2,2,2,5,3,3,1,-2,2,-1,2,2,2,14.0,0.9285714285714286,0.9285714285714286,3.0,4.666666666666667,315.12635,7.0,1.0,1.0,2.0,3.5,325.52422,0.9523809523809523,0.9523809523809523,640.65057
2015,Multiplayer,Single player,Single player,Single player,Male,18-24,Yes,Yes,No,2,FALSE,FALSE,TRUE,2,1,1,2,1,2,1,2,4,3,4,2,2,2,4,1,2,1,-1,1,-2,1,2,2,17.0,0.5294117647058824,0.9411764705882353,6.0,2.8333333333333335,805.3488500000001,18.0,0.5555555555555556,0.8888888888888888,3.0,6.0,495.63778,0.5428571428571428,0.9142857142857143,1300.98663
2029,Multiplayer,Single player,Single player,Multiplayer,Male,18-24,Yes,Yes,No,2,TRUE,TRUE,TRUE,2,1,1,2,1,2,2,1,4,2,3,1,1,1,4,2,3,2,-1,2,-1,1,2,2,39.0,0.3333333333333333,0.5128205128205128,5.0,7.8,1638.04694,13.0,0.6153846153846154,0.9230769230769231,3.0,4.333333333333333,342.7173700000001,0.40384615384615385,0.6153846153846154,1980.76431
1029,Multiplayer,Single player,Single player,Multiplayer,Male,18-24,Yes,Yes,No,2,TRUE,TRUE,TRUE,2,1,1,2,1,2,2,1,4,3,4,1,1,1,4,2,2,1,-1,2,-2,2,2,2,16.0,0.9375,0.9375,4.0,4.0,221.39744000000002,11.0,0.9090909090909091,0.9090909090909091,3.0,3.6666666666666665,342.7173700000001,0.9259259259259259,0.9259259259259259,564.11481
2030,Multiplayer,Single player,Single player,Multiplayer,Male,18-24,No,Yes,No,2,TRUE,TRUE,FALSE,2,1,1,2,1,2,2,1,4,2,2,2,2,2,4,2,2,2,-1,-1,1,2,1,2,48.0,0.5416666666666666,0.7083333333333334,5.0,9.6,872.679,12.0,0.6666666666666666,0.8333333333333334,2.0,6.0,316.11212,0.5666666666666667,0.7333333333333333,1188.7911199999999
1030,Multiplayer,Single player,Single player,Multiplayer,Male,18-24,Yes,Yes,No,2,TRUE,TRUE,FALSE,2,1,1,2,1,2,2,1,4,3,4,2,2,2,3,2,2,2,1,2,-1,2,2,1,34.0,0.5882352941176471,0.5882352941176471,5.0,6.8,752.41961,6.0,0.8333333333333334,0.8333333333333334,2.0,3.0,316.11212,0.625,0.625,1068.5317300000002
1031,Multiplayer,Multiplayer,Single player,Single player,Female,18-24,Yes,Yes,No,2,TRUE,FALSE,TRUE,2,1,2,1,1,2,1,2,4,4,4,1,1,2,4,3,2,1,1,0,-1,2,1,1,23.0,0.8695652173913043,0.8695652173913043,8.0,2.875,811.356966,7.0,0.8571428571428571,0.8571428571428571,5.0,1.4,1252.6676800000002,0.8666666666666667,0.8666666666666667,2064.0246460000003
2031,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,No,2,TRUE,FALSE,TRUE,2,1,2,1,2,1,2,1,4,1,1,1,2,2,4,3,4,1,0,0,-1,2,1,1,24.0,0.5,0.6666666666666666,2.0,12.0,224.49741999999998,23.0,0.5217391304347826,0.7391304347826086,5.0,4.6,1252.6676800000002,0.5106382978723404,0.7021276595744681,1477.1651000000002
2032,Single player,Multiplayer,Multiplayer,Single player,Male,18-24,Yes,No,No,2,TRUE,FALSE,TRUE,1,2,2,1,2,1,1,2,4,2,2,2,2,2,4,5,5,0,-1,1,-2,2,2,2,20.0,0.6,0.8,2.0,10.0,191.63167,22.0,0.5909090909090909,0.8181818181818182,8.0,2.75,1588.5281600000005,0.5952380952380952,0.8095238095238095,1780.1598300000005
1032,Multiplayer,Single player,Single player,Multiplayer,Female,18-24,No,N/A,N/A,2,TRUE,FALSE,TRUE,2,1,1,2,1,2,2,1,4,4,4,1,2,2,4,3,4,2,-2,2,-2,2,2,2,12.0,0.4166666666666667,0.4166666666666667,8.0,1.5,175.10529000000002,7.0,0.7142857142857143,0.7142857142857143,8.0,0.875,1588.5281600000005,0.5263157894736842,0.5263157894736842,1763.6334500000005
2033,Single player,Multiplayer,Single player,Single player,Male,18-24,Yes,Yes,No,2,FALSE,FALSE,TRUE,1,2,2,1,1,2,1,2,4,2,2,2,2,2,4,2,2,-2,0,2,-2,2,2,2,20.0,0.55,0.95,6.0,3.3333333333333335,159.71350999999999,18.0,0.6666666666666666,1.0,5.0,3.6,1329.26698,0.6052631578947368,0.9736842105263158,1488.9804900000001
1033,Single player,Single player,Single player,Multiplayer,Female,18-24,No,Yes,No,2,FALSE,FALSE,TRUE,1,2,1,2,1,2,2,1,4,4,4,1,2,2,2,4,4,0,-1,2,-1,2,1,1,17.0,0.8823529411764706,0.8823529411764706,7.0,2.4285714285714284,280.66309,10.0,0.8,0.8,5.0,2.0,1329.26698,0.8518518518518519,0.8518518518518519,1609.9300700000001
1034,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,No,2,FALSE,TRUE,TRUE,2,1,2,1,2,1,2,1,3,1,1,1,1,1,4,2,3,2,0,1,-2,2,2,2,24.0,0.5,0.5,2.0,12.0,88.802978,24.0,0.75,0.75,6.0,4.0,2617.05792,0.625,0.625,2705.8608980000004
2034,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,No,2,FALSE,TRUE,TRUE,2,1,2,1,2,1,2,1,3,3,3,1,1,1,4,3,3,2,-1,-1,1,2,2,2,14.0,0.7142857142857143,1.0,2.0,7.0,162.02806700000002,30.0,0.6,0.8666666666666667,6.0,5.0,2617.05792,0.6363636363636364,0.9090909090909091,2779.0859870000004
1036,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,No,2,FALSE,TRUE,TRUE,2,1,2,1,2,1,2,1,4,2,2,2,1,1,4,3,3,1,-1,1,-2,1,2,2,17.0,0.7647058823529411,0.7647058823529411,3.0,5.666666666666667,191.726539,13.0,1.0,1.0,6.0,2.1666666666666665,1398.6771299999998,0.8666666666666667,0.8666666666666667,1590.4036689999998
2036,Multiplayer,Single player,Single player,Multiplayer,Female,18-24,Yes,Yes,Yes,2,FALSE,TRUE,TRUE,2,1,1,2,1,2,2,1,5,4,4,2,2,2,5,3,4,1,-1,1,0,2,2,2,31.0,0.6451612903225806,0.9032258064516129,4.0,7.75,282.18474,15.0,0.5333333333333333,0.8666666666666667,6.0,2.5,1398.6771299999998,0.6086956521739131,0.8913043478260869,1680.8618699999997
2037,Single player,Multiplayer,Multiplayer,Single player,Male,18-24,Yes,Yes,No,2,FALSE,TRUE,TRUE,1,2,2,1,2,1,1,2,4,2,2,1,2,1,4,4,4,1,-1,1,1,2,1,1,8.0,1.0,1.0,2.0,4.0,157.61079999999998,7.0,0.5714285714285714,0.7142857142857143,5.0,1.4,2531.9576699999993,0.8,0.8666666666666667,2689.5684699999993
1037,Single player,Multiplayer,Multiplayer,Single player,Male,18-24,Yes,Yes,No,2,FALSE,TRUE,TRUE,1,2,2,1,2,1,1,2,5,2,3,1,1,1,5,2,3,2,2,2,-1,2,1,2,25.0,0.68,0.68,6.0,4.166666666666667,356.40543000000014,15.0,0.8,0.8,5.0,3.0,2531.9576699999993,0.725,0.725,2888.3630999999996
1038,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Female,18-24,Yes,Yes,Yes,1,TRUE,TRUE,FALSE,2,1,2,1,2,1,2,1,5,3,3,2,2,2,5,5,4,2,1,-1,2,1,2,2,19.0,0.8947368421052632,0.8947368421052632,5.0,3.8,264.062435,4.0,0.25,0.25,2.0,2.0,274.22449,0.782608695652174,0.782608695652174,538.286925
2038,Multiplayer,Single player,Single player,Multiplayer,Female,18-24,Yes,Yes,Yes,1,TRUE,TRUE,FALSE,2,1,1,2,1,2,2,1,5,3,4,2,1,1,5,1,2,2,-1,-1,2,2,2,1,53.0,0.49056603773584906,0.7169811320754716,8.0,6.625,774.9472300000001,22.0,0.5,0.5909090909090909,2.0,11.0,274.22449,0.49333333333333335,0.68,1049.17172
2039,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,No,1,TRUE,FALSE,TRUE,2,1,2,1,2,1,2,1,4,2,2,1,1,1,4,3,2,1,-1,1,-1,1,1,1,14.0,0.7857142857142857,1.0,3.0,4.666666666666667,222.63378,24.0,0.7083333333333334,0.9166666666666666,5.0,4.8,2067.6728000000003,0.7368421052631579,0.9473684210526315,2290.3065800000004
1039,Single player,Single player,Single player,Single player,Female,18-24,Yes,No,Yes,1,TRUE,FALSE,TRUE,1,2,1,2,1,2,1,2,5,2,4,1,1,1,4,1,4,1,0,1,-2,1,1,1,19.0,0.8421052631578947,0.8421052631578947,5.0,3.8,239.84845,19.0,1.0,1.0,5.0,3.8,2067.6728000000003,0.9210526315789473,0.9210526315789473,2307.5212500000002
1040,Multiplayer,Multiplayer,Single player,Multiplayer,Female,18-24,No,Yes,No,2,FALSE,FALSE,TRUE,2,1,2,1,1,2,2,1,4,2,3,2,2,2,4,3,3,1,-1,1,-1,1,2,2,20.0,0.7,0.7,5.0,4.0,461.0971299999999,36.0,0.6944444444444444,0.6944444444444444,7.0,5.142857142857143,3201.999359999999,0.6964285714285714,0.6964285714285714,3663.096489999999
2040,Multiplayer,Single player,Multiplayer,Multiplayer,Female,18-24,No,Yes,No,2,FALSE,FALSE,TRUE,2,1,1,2,2,1,2,1,5,4,4,1,2,2,5,4,4,2,0,1,1,1,2,2,10.0,1.0,1.0,8.0,1.25,347.93454999999994,25.0,0.76,0.88,7.0,3.5714285714285716,3201.999359999999,0.8285714285714286,0.9142857142857143,3549.933909999999
2041,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,No,1,TRUE,FALSE,FALSE,2,1,2,1,2,1,2,1,4,3,3,1,1,1,4,4,4,0,-1,-1,-1,2,2,2,9.0,1.0,1.0,4.0,2.25,363.3311100000001,8.0,0.625,0.75,5.0,1.6,1405.22424,0.8235294117647058,0.8823529411764706,1768.55535
1041,Multiplayer,Single player,Single player,Multiplayer,Male,18-24,Yes,Yes,No,1,TRUE,FALSE,FALSE,2,1,1,2,1,2,2,1,4,3,3,2,1,1,4,4,4,1,-1,0,0,1,2,2,24.0,0.9583333333333334,0.9583333333333334,6.0,4.0,299.62608000000006,24.0,0.8333333333333334,0.8333333333333334,5.0,4.8,1405.22424,0.8958333333333334,0.8958333333333334,1704.85032
1042,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Female,18-24,Yes,Yes,N/A,1,TRUE,TRUE,FALSE,2,1,2,1,2,1,2,1,4,2,4,1,2,2,5,3,5,2,-2,2,-1,2,2,2,16.0,0.875,0.875,6.0,2.6666666666666665,750.335778,18.0,0.6666666666666666,0.6666666666666666,5.0,3.6,693.9667800000002,0.7647058823529411,0.7647058823529411,1444.3025580000003
2042,Multiplayer,Single player,Multiplayer,Multiplayer,Female,18-24,Yes,Yes,No,1,TRUE,TRUE,FALSE,2,1,1,2,2,1,2,1,4,3,4,2,2,2,5,4,4,2,-1,2,-1,2,2,2,15.0,0.8666666666666667,0.8666666666666667,7.0,2.142857142857143,1464.43569,12.0,1.0,1.0,5.0,2.4,693.9667800000002,0.9259259259259259,0.9259259259259259,2158.40247
1044,Multiplayer,Multiplayer,Multiplayer,Multiplayer,Male,18-24,Yes,Yes,Yes,2,FALSE,FALSE,TRUE,2,1,2,1,2,1,2,1,3,3,3,1,1,1,4,3,4,2,0,2,0,1,1,1,23.0,1.0,1.0,4.0,5.75,812.6207599999999,9.0,1.0,1.0,5.0,1.8,499.83446,1.0,1.0,1312.4552199999998
